Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Alterite,Alterite,Zn2+2Fe3+4(S6+O4)4((C2)6+O4)2(OH)4·17H2O,Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O,Zn Fe S O C H,IMA2018-070,6741,USA,Pending publication|Approved, ,monoclinic,Zn^2+ Fe^3+ S^6+ O C H,
Althausite,Althausite,"Mg4(PO4)2(OH,O)(F,[box])","Mg4(PO4)2(OH,O)(F,[box])",Mg P O H F,IMA1974-050,844,Norway,Approved, ,orthorhombic,Mg P O H F,
Althupite,Althupite,AlTh4+(U6+O2)7(PO4)4O2(OH)5·15H2O,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,Al Th U O P H,IMA1986-003,845,Democratic Republic of the Congo,Approved, ,triclinic,Al Th^4+ U^6+ O P H,
Altisite,Altisite,Na3K6Ti4+2Al2Si8O26Cl3,Na3K6Ti2Al2Si8O26Cl3,Na K Ti Al Si O Cl,IMA1993-055,846,Russia,Approved,Lemoynite,monoclinic,Na K Ti^4+ Al Si O Cl,
Aluminite,Aluminite,Al2S6+O4(OH)4·7H2O,Al2(SO4)(OH)4·7H2O,Al S O H,,847,Germany,Grandfathered|Approved,Aluminite,monoclinic,Al S^6+ O H,
Aluminium,Aluminium,Al,Al,Al,IMA1980-085a,4921,Russia,Approved,Copper,cubic,Al,
Aluminoceladonite,Aluminoceladonite,KMgAlSi4O10(OH)2,"K(Mg,Fe2+)Al(Si4O10)(OH)2",K Mg Fe Al Si O H,,850,Austria / Poland,Approved,Mica,monoclinic|hexagonal,K Mg Al Si O H,
Aluminocerite-(Ce),Aluminocerite-(Ce),"(Ce,Ca)9Al(SiO4)3(SiO3OH)4(OH)3","(Ce,REE,Ca)9(Al,Fe3+)(SiO4)3[SiO3(OH)]4(OH)3",Ce REE Ca Al Fe Si O H,IMA2007-060,5659,Italy,Approved,Whitlockite,hexagonal,Ce Ca Al Si O H,
Aluminocopiapite,Aluminocopiapite,"(Al,Mg)Fe3+4(S6+O4)6(OH,O)2·20H2O","(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O",Al Mg Fe S O H,,851,USA,Grandfathered|Approved,Copiapite,triclinic,Al Mg Fe^3+ S^6+ O H,
Aluminocoquimbite,Aluminocoquimbite,Al2Fe3+2(S6+O4)6(H2O)12·9H2O,Al2Fe2(SO4)6(H2O)12·9H2O,Al Fe S O H,IMA2009-095,5826,Italy,Approved, ,hexagonal,Al Fe^3+ S^6+ O H,
Aluminomagnesiohulsite,Aluminomagnesiohulsite,Mg2AlO2(BO3),Mg2AlO2(BO3),Mg Al O B,IMA2002-038,4925,Russia,Approved|Renamed,Hulsite,monoclinic,Mg Al O B,
Aluminopyracmonite,Aluminopyracmonite,(N3-H4)3Al(S6+O4)3,(NH4)3Al(SO4)3,N H Al S O,IMA2012-075,6128,Italy,Approved,Pyracmonite,hexagonal,N^3- H Al S^6+ O,
Aluminosugilite,Aluminosugilite,KNa2Al2Li3Si12O30,KNa2Al2Li3Si12O30,K Na Al Li Si O,IMA2018-142,6879,Italy,Pending publication|Approved,Milarite,hexagonal,K Na Al Li Si O,
Alum-(K),Alum-(K),KAl(S6+O4)2·12H2O,KAl(SO4)2·12H2O,K Al S O H,IMA2007 s.p.,3698,Italy ?,Approved|Renamed,Alum,cubic,K Al S^6+ O H,
Alum-(Na),Alum-(Na),NaAl(S6+O4)2·12H2O,NaAl(SO4)2·12H2O,Na Al S O H,IMA2007 s.p,4130,?,Approved|Renamed,Alum,cubic,Na Al S^6+ O H,
Alumoåkermanite,Alumoakermanite,"(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)",Ca Na Al Mg Fe Si O,IMA2008-049,5709,Tanzania,Approved,Melilite,tetragonal,Ca Na Al Mg Fe^2+ Si O,
Alumoedtollite,Alumoedtollite,K2NaCu2+5AlO2(As5+O4)4,K2NaCu5AlO2(AsO4)4,K Na Cu Al O As,IMA2017-020,6661,Russia,Approved,Edtollite,triclinic,K Na Cu^2+ Al O As^5+,
Alumohydrocalcite,Alumohydrocalcite,CaAl2(CO3)2(OH)4·3H2O,CaAl2(CO3)2(OH)4·4H2O,Ca Al C O H,,856,Russia,Approved,Alumohydrocalcite,,Ca Al C O H,
Alumoklyuchevskite,Alumoklyuchevskite,K3Cu2+3AlO2(S6+O4)4,K3Cu2+3AlO2(SO4)4,K Cu Al O S,IMA1993-004,857,Russia,Approved,Klyuchevskite,monoclinic,K Cu^2+ Al O S^6+,
Alumotantite,Alumotantite,AlTa5+O4,AlTaO4,Al Ta O,IMA1980-025,859,Russia,Approved, ,orthorhombic,Al Ta^5+ O,
Alumovesuvianite,Alumovesuvianite,Ca19Al(Al10Mg2)Si18O69(OH)9,Ca19Al(Al10Mg2)Si18O69(OH)9,Ca Al Mg Si O H,IMA2016-014,6543,Canada,Approved,Vesuvianite,tetragonal,Ca Al Mg Si O H,
Alunite,Alunite,KAl3(S6+O4)2(OH)6,KAl3(SO4)2(OH)6,K Al S O H,,860,Italy / Ukraine,Approved|Redefined,Alunite-Alunite,hexagonal,K Al S^6+ O H,
Alunogen,Alunogen,Al2(S6+O4)3(H2O)12·5H2O,Al2(SO4)3(H2O)12·5H2O,Al S O H,,861,?,Grandfathered|Approved, ,triclinic,Al S^6+ O H,
Alvanite,Alvanite,Zn2+Al4(V5+O3)2(OH)12·2H2O,Zn2+Al4(V5+O3)2(OH)12·2H2O,Zn Al V O H,,862,Kazakhstan,Approved,Chalcoalumite,monoclinic,Zn^2+ Al V^5+ O H,
Alwilkinsite-(Y),Alwilkinsite-(Y),Y3+(U6+O2)3(S6+O4)2O(OH)3(H2O)7·7H2O,Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,Y U O S H,IMA2015-097,6495,USA,Approved, ,orthorhombic,Y^3+ U^6+ O S^6+ H,
Amakinite,Amakinite,Fe2+(OH)2,Fe(OH)2,Fe O H,,863,Russia,Approved,Brucite,hexagonal,Fe^2+ O H,
Amamoorite,Amamoorite,CaMn2+2Mn3+(Si2O7)O(OH),CaMn2+2Mn3+(Si2O7)O(OH),Ca Mn Si O H,IMA2018-105,6832,Australia,Approved,Ilvaite,monoclinic,Ca Mn^2+ Mn^3+ Si O H,
Amarantite,Amarantite,Fe3+2O(S6+O4)2·7H2O,Fe3+2O(SO4)2·7H2O,Fe O S H,,864,Chile,Grandfathered|Approved,Amarantite,triclinic,Fe^3+ O S^6+ H,
Amarillite,Amarillite,NaFe3+(S6+O4)2·6H2O,NaFe3+(SO4)2·6H2O,Na Fe S O H,,865,Chile,Grandfathered|Approved,Tamarugite,monoclinic,Na Fe^3+ S^6+ O H,
Amblygonite,Amblygonite,LiAlPO4F,LiAl(PO4)F,Li Al P O F,,866,Germany,Grandfathered|Approved,Titanite-Amblygonite,triclinic,Li Al P O F,
Ambrinoite,Ambrinoite,"[K,(N3-H4)]2(As3+,Sb3+)6(Sb3+,As3+)2S2-13·H2O","[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O",K N H As Sb S O,IMA2009-071,5801,Italy,Approved, ,triclinic,K N^3- H As^3+ Sb^3+ S^2- O,
Ameghinite,Ameghinite,NaB3O3(OH)4,NaB3O3(OH)4,Na B O H,IMA1966-034,867,Argentina,Approved, ,monoclinic,Na B O H,
Amesite,Amesite,Mg2Al(AlSiO5)(OH)4,Mg2Al(AlSiO5)(OH)4,Mg Al Si O H,,868,USA,Grandfathered|Approved,Clay,triclinic|hexagonal,Mg Al Si O H,
Amicite,Amicite,K2Na2(Si4Al4O16)·5H2O,K2Na2(Al4Si4O16)·5H2O,K Na Al Si O H,IMA1979-011,869,Germany,Approved, ,monoclinic,K Na Si Al O H,
Aminoffite,Aminoffite,Ca3(BeOH)2Si3O10,Ca3(BeOH)2Si3O10,Ca Be O H Si,,870,Sweden,Grandfathered|Approved, ,tetragonal,Ca Be O H Si,
Ammineite,Ammineite,Cu2+Cl2(N3-H3)2,CuCl2·2NH3,Cu Cl N H,IMA2008-032,5692,Chile,Approved, ,orthorhombic,Cu^2+ Cl N^3- H,
Ammonioalunite,Ammonioalunite,N3-H4Al3(S6+O4)2(OH)6,(NH4)Al3(SO4)2(OH)6,N H Al S O,IMA1986-037,871,USA,Approved,Alunite-Alunite,hexagonal,N^3- H Al S^6+ O,
Ammonioborite,Ammonioborite,(N3-H4)3B15O20(OH)8·4H2O,(NH4)3B15O20(OH)8·4H2O,N H B O,,872,Italy,Grandfathered|Approved, ,monoclinic,N^3- H B O,
Ammoniojarosite,Ammoniojarosite,N3-H4Fe3+3(S6+O4)2(OH)6,(NH4)Fe3+3(SO4)2(OH)6,N H Fe S O,,873,USA,Approved|Redefined,Alunite-Alunite,hexagonal,N^3- H Fe^3+ S^6+ O,
Ammoniolasalite,Ammoniolasalite,[(N3-H4)2Mg2(H2O)20]·[V5+10O28],[(NH4)2Mg2(H2O)20]·[V10O28],N H Mg O V,IMA2017-094,6723,USA,Approved,Lasalite,monoclinic,N^3- H Mg O V^5+,
Ammonioleucite,Ammonioleucite,(N3-H4)AlSi2O6,(NH4)(AlSi2O6),N H Al Si O,IMA1984-015,874,Japan,Approved, ,tetragonal,N^3- H Al Si O,
Ammoniomagnesiovoltaite,Ammoniomagnesiovoltaite,(N3-H4)2Mg5Fe3+3Al(S6+O4)12·18H2O,(NH4)2Mg5Fe3+3Al(SO4)12·18H2O,N H Mg Fe Al S O,IMA2009-040,5769,Hungary,Approved,Voltaite,cubic,N^3- H Mg Fe^3+ Al S^6+ O,
Ammoniomathesiusite,Ammoniomathesiusite,(N3-H4)5(U6+O2)4(S6+O4)4(V5+O5)·4H2O,(NH4)5(UO2)4(SO4)4(VO5)·4H2O,N H U O S V,IMA2017-077,6708,USA,Approved,Mathesiusite,tetragonal,N^3- H U^6+ O S^6+ V^5+,
Ammoniotinsleyite,Ammoniotinsleyite,(N3-H4)Al2(PO4)2(OH)·2H2O,(NH4)Al2(PO4)2(OH)·2H2O,N H Al P O,IMA2019-128,7011,Chile,Pending publication|Approved,Leucophosphite,,N^3- H Al P O,
Ammoniovoltaite,Ammoniovoltaite,(N3-H4)2Fe2+5Fe3+3Al(S6+O4)12(H2O)18,(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18,N H Fe Al S O,IMA2017-022,6663,Russia,Approved,Voltaite,cubic,N^3- H Fe^2+ Fe^3+ Al S^6+ O,
Ammoniozippeite,Ammoniozippeite,(N3-H4)2[(U6+O2)2(S6+O4)O2]·H2O,(NH4)2[(UO2)2(SO4)O2]·H2O,N H U O S,IMA2017-073,6705,USA,Approved,Zippeite,orthorhombic,N^3- H U^6+ O S^6+,
Amstallite,Amstallite,"CaAl(Si,Al)4O8(OH)4·(H2O,Cl)","CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)",Ca Al Si O H Cl,IMA1986-030,875,Austria,Approved, ,monoclinic,Ca Al Si O H Cl,
Analcime,Analcime,NaAlSi2O6·H2O,Na(AlSi2O6)·H2O,Na Al Si O H,,876,Italy,Approved, ,"tetragonal|cubic, orthorhombic, monoclinic, hexagonal",Na Al Si O H,
Anandite,Anandite,BaFe2+3(Si3Fe3+)O10S2-(OH),BaFe2+3(Si3Fe3+)O10S(OH),Ba Fe Si O S H,IMA1966-005,877,Sri Lanka,Approved,Clay,monoclinic|orthorhombic,Ba Fe^2+ Si Fe^3+ O S^2- H,
Anapaite,Anapaite,Ca2Fe2+(PO4)2·4H2O,Ca2Fe2+(PO4)2·4H2O,Ca Fe P O H,,878,Russia,Grandfathered|Approved, ,triclinic,Ca Fe^2+ P O H,
Anatase,Anatase,Ti4+O2,TiO2,Ti O,,879,France,Approved, ,tetragonal,Ti^4+ O,
Anatolyite,Anatolyite,"Na6(Ca,Na)(Mg,Fe3+)3Al(As5+O4)6","Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6",Na Ca Mg Fe Al As O,IMA2016-040,6568,Russia,Approved,Yurmarinite,hexagonal,Na Ca Mg Fe^3+ Al As^5+ O,
Ancylite-(Ce),Ancylite-(Ce),CeSr(CO3)2(OH)·H2O,CeSr(CO3)2(OH)·H2O,Ce Sr C O H,IMA1987 s.p.,880,Denmark (Greenland),Approved|Renamed,Ancylite,orthorhombic,Ce Sr C O H,
Ancylite-(La),Ancylite-(La),LaSr(CO3)2(OH)·H2O,LaSr(CO3)2(OH)·H2O,La Sr C O H,IMA1995-053,881,Russia,Approved,Ancylite,orthorhombic,La Sr C O H,
Andalusite,Andalusite,Al2SiO5,Al2SiO5,Al Si O,,882,Spain,Grandfathered|Approved,Andalusite,orthorhombic,Al Si O,
Andersonite,Andersonite,Na2Ca(U6+O2)(CO3)3·5-6H2O,Na2Ca(UO2)(CO3)3·5-6H2O,Na Ca U O C H,,883,USA,Grandfathered|Approved, ,hexagonal,Na Ca U^6+ O C H,
Andorite IV,Andorite IV,Ag1+Pb2+Sb3+3S2-6,AgPbSb3S6,Ag Pb Sb S,,5368,Bolivia,Grandfathered|Approved,Lillianite,monoclinic|orthorhombic,Ag^1+ Pb^2+ Sb^3+ S^2-,
Andorite VI,Andorite VI,Ag1+Pb2+Sb3+3S2-6,AgPbSb3S6,Ag Pb Sb S,,884,Romania,Grandfathered|Approved,Lillianite,orthorhombic,Ag^1+ Pb^2+ Sb^3+ S^2-,
Andradite,Andradite,Ca3Fe3+2(SiO4)3,Ca3Fe3+2(SiO4)3,Ca Fe Si O,,885,Norway,Grandfathered|Approved,Garnet,cubic|triclinic,Ca Fe^3+ Si O,
Andreadiniite,Andreadiniite,Cu1+Hg2+Ag1+7Pb2+7Sb3+24S2-48,CuHgAg7Pb7Sb24S48,Cu Hg Ag Pb Sb S,IMA2014-049,6345,Italy,Approved,Lillianite,monoclinic,Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-,
Andrémeyerite,Andremeyerite,BaFe2+2Si2O7,BaFe2+2(Si2O7),Ba Fe Si O,IMA1972-005,886,Democratic Republic of the Congo,Approved|Renamed, ,monoclinic|orthorhombic,Ba Fe^2+ Si O,
Andreyivanovite,Andreyivanovite,FeCrP,FeCrP,Fe Cr P,IMA2006-003,5517,Yemen (meteorite),Approved,Barringerite,orthorhombic,Fe Cr P,
Andrianovite,Andrianovite,"Na12(K,Sr,Ce3+)3Ca6Mn2+3Zr4+3Nb5+Si25O73(O,H2O,OH)5","Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5",Na K Sr Ce Ca Mn Zr Nb Si O H,IMA2007-008,5601,Russia,Approved,Eudialyte,hexagonal,Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H,
Anduoite,Anduoite,RuAs2,RuAs2,Ru As,,888,China,Approved, ,orthorhombic,Ru As,
Andychristyite,Andychristyite,Pb2+Cu2+Te6+O5(H2O),PbCu2+Te6+O5(H2O),Pb Cu Te O H,IMA2015-024,6425,USA,Approved, ,triclinic,Pb^2+ Cu^2+ Te^6+ O H,
Andymcdonaldite,Andymcdonaldite,Fe3+2Te6+O6,Fe2TeO6,Fe Te O,IMA2018-141,6878,USA,Approved,Tapiolite,tetragonal,Fe^3+ Te^6+ O,
Andyrobertsite,Andyrobertsite,KCd2+Cu2+5(As5+O4)4[As5+(OH)2O2]·2H2O,KCdCu5(AsO4)4[As(OH)2O2]·2H2O,K Cd Cu As O H,IMA1997-022,889,Namibia,Approved,Andyrobertsite,monoclinic,K Cd^2+ Cu^2+ As^5+ O H,
Angarfite,Angarfite,NaFe3+5(PO4)4(OH)4·4H2O,NaFe3+5(PO4)4(OH)4·4H2O,Na Fe P O H,IMA2010-082,5920,Morocco,Approved, ,orthorhombic,Na Fe^3+ P O H,
Angastonite,Angastonite,CaMgAl2(PO4)2(OH)4·7H2O,CaMgAl2(PO4)2(OH)4·7H2O,Ca Mg Al P O H,IMA2008-008,5667,Australia,Approved, ,triclinic,Ca Mg Al P O H,
Ángelaite,Angelaite,Cu1+2Ag1+Pb2+Bi3+S2-4,Cu2AgPbBiS4,Cu Ag Pb Bi S,IMA2003-064,5262,Argentina,Approved|Renamed,Kobellite,orthorhombic,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,
Angelellite,Angelellite,Fe3+4O3(As5+O4)2,Fe3+4O3(AsO4)2,Fe O As,,890,Argentina,Approved, ,triclinic,Fe^3+ O As^5+,
Anglesite,Anglesite,Pb2+S6+O4,Pb(SO4),Pb S O,,891,United Kingdom,Grandfathered|Approved,Baryte,orthorhombic,Pb^2+ S^6+ O,
Anhydrite,Anhydrite,CaS6+O4,Ca(SO4),Ca S O,,892,Austria,Grandfathered|Approved, ,orthorhombic,Ca S^6+ O,
Anhydrokainite,Anhydrokainite,KMgS6+O4Cl,KMg(SO4)Cl,K Mg S O Cl,,5371,Germany,Questionable mineral species|Approved,Chlorothionite,hexagonal,K Mg S^6+ O Cl,
Anilite,Anilite,Cu7S4,Cu7S4,Cu S,IMA1968-030,893,Japan,Approved,Digenite,orthorhombic|unknown,Cu S,
Ankerite,Ankerite,CaFe2+(CO3)2,"Ca(Fe2+,Mg)(CO3)2",Ca Fe Mg C O,,895,Austria,Grandfathered|Approved,Dolomite,hexagonal,Ca Fe^2+ C O,
Ankinovichite,Ankinovichite,Ni2+Al4(V5+O3)2(OH)12·2H2O,NiAl4(V5+O3)2(OH)12·2H2O,Ni Al V O H,IMA2002-063,5185,Kazakhstan / Kyrgyzstan,Approved,Chalcoalumite,monoclinic,Ni^2+ Al V^5+ O H,
Annabergite,Annabergite,Ni2+3(As5+O4)2·8H2O,Ni3(AsO4)2·8H2O,Ni As O H,,896,Germany,Grandfathered|Approved,Vivianite,monoclinic,Ni^2+ As^5+ O H,
Annite,Annite,KFe2+3AlSi3O10(OH)2,KFe2+3(AlSi3O10)(OH)2,K Fe Al Si O H,,897,USA,Approved,Clay,monoclinic,K Fe^2+ Al Si O H,
Anorpiment,Anorpiment,As3+2S2-3,As2S3,As S,IMA2011-014,5921,Peru,Approved, ,triclinic,As^3+ S^2-,
Anorthite,Anorthite,CaAl2Si2O8,Ca(Al2Si2O8),Ca Al Si O,,898,Italy,Grandfathered|Approved,Feldspar,triclinic|unknown,Ca Al Si O,
Anorthominasragrite,Anorthominasragrite,V4+O(S6+O4)·5H2O,V4+O(SO4)·5H2O,V O S H,IMA2001-040,4970,USA,Approved,Minasragrite,triclinic,V^4+ O S^6+ H,
Ansermetite,Ansermetite,Mn2+V5+2O6·4H2O,Mn2+V5+2O6·4H2O,Mn V O H,IMA2002-017,4971,Switzerland,Approved, ,monoclinic,Mn^2+ V^5+ O H,
Antarcticite,Antarcticite,CaCl2·6H2O,CaCl2·6H2O,Ca Cl H O,IMA1965-015,900,Antarctica,Approved, ,hexagonal,Ca Cl H O,
Anthoinite,Anthoinite,AlW6+O3(OH)3,AlWO3(OH)3,Al W O H,,901,Democratic Republic of the Congo,Grandfathered|Approved,Anthoinite,triclinic,Al W^6+ O H,
Anthonyite,Anthonyite,Cu2+(OH)2·3H2O,Cu(OH)2·3H2O,Cu O H,,902,USA,Approved,Anthonyite,,Cu^2+ O H,
Anthophyllite,Anthophyllite,[box]Mg2Mg5Si8O22(OH)2,[box]Mg2Mg5Si8O22(OH)2,Mg Si O H,,903,Norway,Approved|Redefined,Amphibole,orthorhombic,Mg Si O H,
Antigorite,Antigorite,Mg3Si2O5(OH)4,Mg3Si2O5(OH)4,Mg Si O H,,904,Italy / Switzerland,Approved|Redefined,Clay,monoclinic,Mg Si O H,
Antimonselite,Antimonselite,Sb3+2Se2-3,Sb2Se3,Sb Se,IMA1992-003,906,China,Approved,Stibnite,orthorhombic,Sb^3+ Se^2-,
Antimony,Antimony,Sb,Sb,Sb,,907,Sweden,Grandfathered|Approved,Arsenic,"hexagonal|cubic, tetragonal, rhombohedral",Sb,
Antipinite,Antipinite,KNa3Cu2+2((C2)6+O4)4,KNa3Cu2(C2O4)4,K Na Cu C O,IMA2014-027,6323,Chile,Approved, ,triclinic,K Na Cu^2+ C O,
Antlerite,Antlerite,Cu2+3(S6+O4)(OH)4,Cu2+3(SO4)(OH)4,Cu S O H,,908,USA,Approved, ,orthorhombic,Cu^2+ S^6+ O H,
Antofagastaite,Antofagastaite,Na2Ca(S6+O4)2·1.5H2O,Na2Ca(SO4)2·1.5H2O,Na Ca S O H,IMA2018-049,6786,Chile,Approved,Syngenite,monoclinic,Na Ca S^6+ O H,
Anyuiite,Anyuiite,AuPb2,AuPb2,Au Pb,IMA1987-053,909,Russia,Approved,Khatyrkite,tetragonal,Au Pb,
Anzaite-(Ce),Anzaite-(Ce),Ce3+4Fe2+Ti4+6O18(OH)2,Ce4Fe2+Ti6O18(OH)2,Ce Fe Ti O H,IMA2013-004,6167,Russia,Approved, ,monoclinic,Ce^3+ Fe^2+ Ti^4+ O H,
Apachite,Apachite,Cu2+9Si10O29·11H2O,Cu2+9Si10O29·11H2O,Cu Si O H,IMA1979-022,910,USA,Approved, ,monoclinic,Cu^2+ Si O H,
Apexite,Apexite,NaMg(P5+O4)·9H2O,NaMg(PO4)·9H2O,Na Mg P O H,IMA2015-002,6408,USA,Approved,Struvite,triclinic,Na Mg P^5+ O H,
Aphthitalite,Aphthitalite,K3Na(S6+O4)2,K3Na(SO4)2,K Na S O,,911,Italy,Grandfathered|Approved,Aphthitalite,hexagonal,K Na S^6+ O,
Apjohnite,Apjohnite,Mn2+Al2(S6+O4)4·22H2O,Mn2+Al2(SO4)4·22H2O,Mn Al S O H,,912,South Africa,Grandfathered|Approved,Halotrichite,monoclinic,Mn^2+ Al S^6+ O H,
Aplowite,Aplowite,Co2+S6+O4·4H2O,Co(SO4)·4H2O,Co S O H,IMA1963-009,913,Canada,Approved,Starkeyite,monoclinic,Co^2+ S^6+ O H,
Apuanite,Apuanite,Fe2+Fe3+4Sb3+4O12S2-,(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S,Fe Sb O S,IMA1978-069,914,Italy,Approved,Trippkeite,tetragonal,Fe^2+ Fe^3+ Sb^3+ O S^2-,
Aqualite,Aqualite,"(H3O)8(Na,K,Sr)5Ca6Zr4+3Si26O66(OH)9Cl","(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl",H O Na K Sr Ca Zr Si Cl,IMA2002-066,915,Russia,Approved,Eudialyte,hexagonal,H O Na K Sr Ca Zr^4+ Si Cl,
Aradite,Aradite,BaCa6(SiO4)(V5+O4)(V5+O4)2F,BaCa6[(SiO4)(VO4)](VO4)2F,Ba Ca Si O V F,IMA2013-047,6211,Israel,Approved|Redefined,Zadovite,hexagonal,Ba Ca Si O V^5+ F,
Aragonite,Aragonite,CaCO3,Ca(CO3),Ca C O,,916,Spain,Grandfathered|Approved,Aragonite,orthorhombic,Ca C O,
Arakiite,Arakiite,Zn2+Mn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23,ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23,Zn Mn Fe As O H,IMA1998-062,917,Sweden,Approved,Hematolite,monoclinic,Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H,
Aramayoite,Aramayoite,"Ag1+3Sb3+2(Bi3+,Sb3+)S2-6","Ag3Sb2(Bi,Sb)S6",Ag Sb Bi S,,918,Bolivia,Grandfathered|Approved,Aramayoite,triclinic,Ag^1+ Sb^3+ Bi^3+ S^2-,
Arangasite,Arangasite,Al2(S6+O4)(PO4)F·9H2O,Al2(SO4)(PO4)F·9H2O,Al S O P F H,IMA2012-018,6078,Russia,Approved, ,monoclinic,Al S^6+ O P F H,
Arapovite,Arapovite,"(K1-x[box]x)(Ca,Na)2U4+Si8O20 (x~0.5)","(K1-x[box]x)(Ca,Na)2U4+Si8O20 [x ≈ 0.5]",K Ca Na U Si O,IMA2003-046,5186,Tajikistan,Approved,Steacyite,tetragonal,K Ca Na U^4+ Si O,
Aravaipaite,Aravaipaite,Pb2+3AlF9·H2O,Pb3AlF9·H2O,Pb Al F H O,IMA1988-021,919,USA,Approved,Aravaipaite,triclinic|monoclinic,Pb^2+ Al F H O,
Aravaite,Aravaite,Ba2Ca18(SiO4)6(PO4)3(CO3)F3O,Ba2Ca18(SiO4)6(PO4)3(CO3)F3O,Ba Ca Si O P C F,IMA2018-078,6808,Israel,Pending publication|Approved, ,hexagonal,Ba Ca Si O P C F,
Arcanite,Arcanite,K2S6+O4,K2(SO4),K S O,,920,USA,Grandfathered|Approved,Arcanite,orthorhombic,K S^6+ O,
Archerite,Archerite,H2KPO4,H2K(PO4),H K P O,IMA1975-008,921,Australia,Approved,Biphosphammite,tetragonal,H K P O,
Arctite,Arctite,(Na5Ca)Ca6Ba(PO4)6F3,(Na5Ca)Ca6Ba(PO4)6F3,Na Ca Ba P O F,IMA1980-049,922,Russia,Approved, ,hexagonal,Na Ca Ba P O F,
Arcubisite,Arcubisite,Ag6CuBiS4,Ag6CuBiS4,Ag Cu Bi S,IMA1973-009,923,Denmark (Greenland),Approved, ,,Ag Cu Bi S,
Ardaite,Ardaite,Pb2+17Sb3+15S2-35Cl9,Pb17Sb15S35Cl9,Pb Sb S Cl,IMA1979-073,924,Bulgaria,Approved,Madocite,monoclinic,Pb^2+ Sb^3+ S^2- Cl,
Ardealite,Ardealite,Ca2(PO3OH)(S6+O4)·4H2O,Ca2(PO3OH)(SO4)·4H2O,Ca P O H S,,925,Romania,Grandfathered|Approved,Gypsum,monoclinic,Ca P O H S^6+,
Ardennite-(As),Ardennite-(As),Mn2+4Al4(AlMg)(As5+O4)(SiO4)2(Si3O10)(OH)6,Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6,Mn Al Mg As O Si H,IMA2007 s.p.,926,Belgium,Approved|Renamed,Ardennite,orthorhombic,Mn^2+ Al Mg As^5+ O Si H,
Ardennite-(V),Ardennite-(V),Mn2+4(AlMg)Al4(Si5V5+)O22(OH)6,Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6,Mn Al Mg V O Si H,IMA2005-037,5520,Italy,Approved,Ardennite,orthorhombic,Mn^2+ Al Mg Si V^5+ O H,
Arfvedsonite,Arfvedsonite,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,,927,Denmark (Greenland),Approved|Redefined,Amphibole,monoclinic,Na Fe^2+ Fe^3+ Si O H,
Argandite,Argandite,Mn2+7(V5+O4)2(OH)8,Mn7(VO4)2(OH)8,Mn V O H,IMA2010-021,5850,Switzerland,Approved,Allactite,monoclinic,Mn^2+ V^5+ O H,
Argentobaumhauerite,Argentobaumhauerite,Ag1.5Pb22As33.5S72,Ag1.5Pb22As33.5S72,Ag Pb As S,"IMA1988-051, IMA2015 s.p.",1058,Switzerland,Approved|Renamed,Sartorite,monoclinic,Ag Pb As S,
Argentodufrénoysite,Argentodufrenoysite,Ag1+3Pb2+26As3+35S2-80,Ag3Pb26As35S80,Ag Pb As S,IMA2016-046,6574,Switzerland,Pending publication|Approved,Sartorite,triclinic,Ag^1+ Pb^2+ As^3+ S^2-,
Argentojarosite,Argentojarosite,Ag1+Fe3+3(S6+O4)2(OH)6,AgFe3+3(SO4)2(OH)6,Ag Fe S O H,,928,USA,Approved|Redefined,Alunite-Alunite,hexagonal,Ag^1+ Fe^3+ S^6+ O H,
